successes,iteration_mean,iteration_std,reward_episode_mean,reward_episode_std,episode_count_mean,episode_count_std,random_act_mean,random_act_std,timestep_mean,timestep_std,epsilon_mean,epsilon_std
16564,101.0,0.0,202.0,0.0,164.0,0.0,8245.3,45.107402693768236,8318.7,45.107402693768236,0.20397027838564022,0.0
16665,101.0,0.0,202.0,0.0,165.0,0.0,8265.0,47.63518774090327,8400.0,47.63518774090327,0.2020402418679829,0.0
16766,101.0,0.0,202.0,0.0,166.0,0.0,8286.1,48.63572075474282,8479.9,48.63572075474282,0.2001294095345465,0.0
16867,101.0,0.0,202.0,0.0,167.0,0.0,8305.1,47.226287406720715,8561.9,47.226287406720715,0.1982375903005053,0.0
16968,101.0,0.0,202.0,0.0,168.0,0.0,8326.9,46.29242798653884,8641.1,46.29242798653884,0.1963645949823593,0.0
17069,101.0,0.0,202.0,0.0,169.0,0.0,8346.2,47.625390053812296,8722.8,47.625390053812296,0.1945102362790158,0.0
17170,101.0,0.0,202.0,0.0,170.0,0.0,8363.7,47.914391250321145,8806.3,47.914391250321145,0.1926743287530593,0.0
17271,101.0,0.0,202.0,0.0,171.0,0.0,8382.2,49.35990275517096,8888.8,49.35990275517096,0.1908566888122073,0.0
17372,101.0,0.0,202.0,0.0,172.0,0.0,8399.7,50.04231542737918,8972.3,50.04231542737918,0.1890571346909509,0.0
17473,101.0,0.0,202.0,0.0,173.0,0.0,8418.5,49.06967834960131,9054.5,49.06967834960131,0.1872754864323783,0.0
17574,101.0,0.0,202.0,0.0,174.0,0.0,8437.3,49.76176577788793,9136.7,49.76176577788793,0.185511565870179,0.0
17675,101.0,0.0,202.0,0.0,175.0,0.0,8454.8,50.45746283311854,9220.2,50.45746283311854,0.1837651966108269,0.0
17776,101.0,0.0,202.0,0.0,176.0,0.0,8473.6,49.6592835675712,9302.4,49.6592835675712,0.1820362040159407,0.0
17877,101.0,0.0,202.0,0.0,177.0,0.0,8491.9,52.148186289969125,9385.1,52.148186289969125,0.18032441518482,0.0
17978,101.0,0.0,202.0,0.0,178.0,0.0,8511.6,51.966228349658735,9466.4,51.966228349658735,0.1786296589371553,0.0
18079,101.0,0.0,202.0,0.0,179.0,0.0,8529.6,51.01241678911782,9549.4,51.01241678911782,0.1769517657959095,0.0
18180,101.0,0.0,202.0,0.0,180.0,0.0,8547.8,51.6866627971968,9632.2,51.6866627971968,0.1752905679703703,0.0
18281,101.0,0.0,202.0,0.0,181.0,0.0,8567.5,52.57851272145362,9713.5,52.57851272145362,0.1736458993393706,0.0
18382,101.0,0.0,202.0,0.0,182.0,0.0,8583.8,50.70787797659129,9798.2,50.70787797659129,0.172017595434677,0.0
18483,101.0,0.0,202.0,0.0,183.0,0.0,8603.1,51.31698873992261,9879.9,51.31698873992261,0.1704054934245419,0.0
18584,101.0,0.0,202.0,0.0,184.0,0.0,8619.8,51.26142149153995,9964.2,51.26142149153995,0.168809432097421,0.0
18685,101.0,0.0,202.0,0.0,185.0,0.0,8635.2,50.16151690068582,10049.8,50.16151690068582,0.1672292518458514,0.0
18786,101.0,0.0,202.0,0.0,186.0,0.0,8651.0,51.022870688871244,10135.0,51.022870688871244,0.1656647946504913,0.0
18887,101.0,0.0,202.0,0.0,187.0,0.0,8668.3,50.10666400567666,10218.7,50.10666400567666,0.1641159040643173,0.0
18988,101.0,0.0,202.0,0.0,188.0,0.0,8684.3,48.71242141384454,10303.7,48.71242141384454,0.1625824251969801,0.0
19089,101.0,0.0,202.0,0.0,189.0,0.0,8701.2,47.32347315139865,10387.8,47.32347315139865,0.161064204699315,0.0
19190,101.0,0.0,202.0,0.0,190.0,0.0,8719.0,46.42556766840095,10471.0,46.42556766840095,0.1595610907480071,0.0
19291,101.0,0.0,202.0,0.0,191.0,0.0,8735.5,44.259964352046694,10555.5,44.259964352046694,0.1580729330304087,0.0
19392,101.0,0.0,202.0,0.0,192.0,0.0,8751.6,43.341537684868186,10640.4,43.341537684868186,0.1565995827295078,0.0
19493,101.0,0.0,202.0,0.0,193.0,0.0,8767.9,42.96885176755613,10725.1,42.96885176755613,0.1551408925090466,0.0
19594,101.0,0.0,202.0,0.0,194.0,0.0,8783.4,42.032262740793925,10810.6,42.032262740793925,0.1536967164987875,0.0
19695,101.0,0.0,202.0,0.0,195.0,0.0,8799.7,43.69604609623683,10895.3,43.69604609623683,0.1522669102799259,0.0
19796,101.0,0.0,202.0,0.0,196.0,0.0,8815.1,43.07989992766683,10980.9,43.07989992766683,0.1508513308706484,0.0
19897,101.0,0.0,202.0,0.0,197.0,0.0,8831.4,41.30160072227489,11065.6,41.30160072227489,0.1494498367118345,0.0
19998,101.0,0.0,202.0,0.0,198.0,0.0,8846.8,40.89770436371893,11151.2,40.89770436371893,0.1480622876529004,0.0
20099,101.0,0.0,202.0,0.0,199.0,0.0,8861.4,40.760002180787204,11237.6,40.760002180787204,0.1466885449377839,0.0
20200,101.0,0.0,202.0,0.0,200.0,0.0,8874.6,42.36927608014516,11325.4,42.36927608014516,0.1453284711910686,0.0
20301,101.0,0.0,202.0,0.0,201.0,0.0,8888.0,42.99095512107401,11413.0,42.99095512107401,0.1439819304042466,0.0
20402,101.0,0.0,202.0,0.0,202.0,0.0,8903.9,44.006186433778,11498.1,44.006186433778,0.1426487879221168,0.0
20503,101.0,0.0,202.0,0.0,203.0,0.0,8917.1,43.676716400795684,11585.9,43.676716400795684,0.1413289104293205,0.0
20604,101.0,0.0,202.0,0.0,204.0,0.0,8932.5,43.25441531733383,11671.5,43.25441531733383,0.1400221659370081,0.0
20705,101.0,0.0,202.0,0.0,205.0,0.0,8945.1,43.061841834996265,11759.9,43.061841834996265,0.1387284237696416,0.0
20806,101.0,0.0,202.0,0.0,206.0,0.0,8958.2,45.452783804246465,11847.8,45.452783804246465,0.1374475545519262,0.0
20907,101.0,0.0,202.0,0.0,207.0,0.0,8971.8,44.93897096186226,11935.2,44.93897096186226,0.1361794301958725,0.0
21008,101.0,0.0,202.0,0.0,208.0,0.0,8984.8,44.55159306292544,12023.2,44.55159306292544,0.1349239238879883,0.0
