iteration,successes,reward_episode,episode_count,random_act,timestep
101,56333,101,591,45244,11089
101,56434,101,592,45325,11109
101,56535,101,593,45404,11131
103,56638,103,594,45487,11151
101,56739,101,595,45563,11176
104,56843,104,596,45648,11195
36,56879,36,597,45676,11203
101,56980,101,598,45757,11223
42,57022,42,599,45793,11229
101,57123,101,600,45872,11251
108,57231,108,601,45960,11271
101,57332,101,602,46040,11292
105,57437,105,603,46125,11312
102,57539,102,604,46214,11325
107,57646,107,605,46302,11344
101,57747,101,606,46377,11370
101,57848,101,607,46461,11387
101,57949,101,608,46540,11409
101,58050,101,609,46617,11433
101,58151,101,610,46699,11452
32,58183,32,611,46728,11455
101,58284,101,612,46807,11477
101,58385,101,613,46895,11490
101,58486,101,614,46980,11506
101,58587,101,615,47060,11527
101,58688,101,616,47142,11546
32,58720,32,617,47169,11551
101,58821,101,618,47249,11572
101,58922,101,619,47330,11592
34,58956,34,620,47360,11596
101,59057,101,621,47436,11621
101,59158,101,622,47517,11641
101,59259,101,623,47597,11662
101,59360,101,624,47675,11685
101,59461,101,625,47754,11707
101,59562,101,626,47836,11726
101,59663,101,627,47920,11743
65,59728,65,628,47971,11757
102,59830,102,629,48050,11780
101,59931,101,630,48125,11806
103,60034,103,631,48207,11827
101,60135,101,632,48283,11852
101,60236,101,633,48364,11872
101,60337,101,634,48445,11892
101,60438,101,635,48519,11919
101,60539,101,636,48593,11946
101,60640,101,637,48674,11966
109,60749,109,638,48763,11986
111,60860,111,639,48848,12012
101,60961,101,640,48924,12037
101,61062,101,641,49006,12056
137,61199,137,642,49113,12086
102,61301,102,643,49200,12101
101,61402,101,644,49283,12119
99,61501,99,645,49365,12136
46,61547,46,646,49403,12144
69,61616,69,647,49460,12156
101,61717,101,648,49540,12177
101,61818,101,649,49619,12199
88,61906,88,650,49685,12221
36,61942,36,651,49715,12227
101,62043,101,652,49793,12250
109,62152,109,653,49882,12270
68,62220,68,654,49939,12281
51,62271,51,655,49984,12287
101,62372,101,656,50060,12312
58,62430,58,657,50108,12322
101,62531,101,658,50186,12345
101,62632,101,659,50267,12365
101,62733,101,660,50347,12386
101,62834,101,661,50432,12402
101,62935,101,662,50509,12426
101,63036,101,663,50590,12446
101,63137,101,664,50675,12462
101,63238,101,665,50757,12481
101,63339,101,666,50838,12501
101,63440,101,667,50914,12526
107,63547,107,668,51006,12541
101,63648,101,669,51084,12564
101,63749,101,670,51162,12587
32,63781,32,671,51190,12591
101,63882,101,672,51270,12612
101,63983,101,673,51359,12624
101,64084,101,674,51439,12645
101,64185,101,675,51513,12672
111,64296,111,676,51602,12694
101,64397,101,677,51684,12713
101,64498,101,678,51758,12740
101,64599,101,679,51839,12760
112,64711,112,680,51925,12786
101,64812,101,681,52001,12811
101,64913,101,682,52087,12826
106,65019,106,683,52177,12842
101,65120,101,684,52257,12863
111,65231,111,685,52344,12887
101,65332,101,686,52422,12910
101,65433,101,687,52503,12930
101,65534,101,688,52580,12954
104,65638,104,689,52662,12976
101,65739,101,690,52747,12992
101,65840,101,691,52827,13013
101,65941,101,692,52907,13034
101,66042,101,693,52992,13050
101,66143,101,694,53080,13063
69,66212,69,695,53134,13078
101,66313,101,696,53215,13098
101,66414,101,697,53295,13119
32,66446,32,698,53323,13123
101,66547,101,699,53402,13145
101,66648,101,700,53484,13164
101,66749,101,701,53564,13185
109,66858,109,702,53652,13206
101,66959,101,703,53738,13221
101,67060,101,704,53818,13242
101,67161,101,705,53895,13266
101,67262,101,706,53984,13278
101,67363,101,707,54056,13307
32,67395,32,708,54086,13309
101,67496,101,709,54167,13329
101,67597,101,710,54251,13346
101,67698,101,711,54328,13370
101,67799,101,712,54405,13394
101,67900,101,713,54484,13416
101,68001,101,714,54564,13437
32,68033,32,715,54592,13441
101,68134,101,716,54675,13459
101,68235,101,717,54755,13480
101,68336,101,718,54825,13511
32,68368,32,719,54856,13512
101,68469,101,720,54936,13533
101,68570,101,721,55013,13557
101,68671,101,722,55091,13580
101,68772,101,723,55174,13598
101,68873,101,724,55248,13625
101,68974,101,725,55332,13642
101,69075,101,726,55415,13660
101,69176,101,727,55494,13682
