iteration,successes,reward_episode,episode_count,random_act,timestep,epsilon
101,32421,202,321,10039,22382,0.05035458193858255
101,32522,202,322,10044,22478,0.049953047139310834
101,32623,202,323,10047,22576,0.04955550767804736
101,32724,202,324,10050,22674,0.04916192380051474
101,32825,202,325,10052,22773,0.0487722561479972
101,32926,202,326,10056,22870,0.04838646575340479
101,33027,202,327,10063,22964,0.04800451403737654
101,33128,202,328,10066,23062,0.04762636280442257
101,33229,202,329,10071,23158,0.04725197423910444
101,33330,202,330,10076,23254,0.04688131090225365
101,33431,202,331,10083,23348,0.046514335727227595
101,33532,202,332,10088,23444,0.046151012016203
101,33633,202,333,10095,23538,0.04579130343650595
101,33734,202,334,10103,23631,0.04543517401697875
101,33835,202,335,10106,23729,0.04508258814438266
101,33936,202,336,10115,23821,0.04473351055983658
101,34037,202,337,10121,23916,0.044387906355291176
101,34138,202,338,10123,24015,0.04404574097003798
101,34239,202,339,10129,24110,0.04370698018725335
101,34340,202,340,10133,24207,0.043371590130576676
101,34441,202,341,10139,24302,0.04303953726072282
101,34542,202,342,10146,24396,0.042710788372128064
101,34643,202,343,10149,24494,0.042385310589629625
101,34744,202,344,10154,24590,0.04206307136517797
101,34845,202,345,10158,24687,0.04174403847458216
101,34946,202,346,10164,24782,0.04142818001428726
101,35047,202,347,10170,24877,0.04111546439818403
101,35148,202,348,10174,24974,0.04080586035445025
101,35249,202,349,10178,25071,0.040499336922423565
101,35350,202,350,10182,25168,0.040195863449505306
101,35451,202,351,10186,25265,0.039895409588095315
101,35552,202,352,10195,25357,0.039597945292557044
101,35653,202,353,10200,25453,0.03930344081621308
101,35754,202,354,10205,25549,0.03901186670837034
101,35855,202,355,10206,25649,0.03872319381137508
101,35956,202,356,10207,25749,0.03843739325769703
101,36057,202,357,10210,25847,0.03815443646704266
101,36158,202,358,10216,25942,0.03787429514349709
101,36259,202,359,10220,26039,0.03759694127269454
101,36360,202,360,10226,26134,0.037322347119016795
101,36461,202,361,10228,26233,0.03705048522281963
101,36562,202,362,10233,26329,0.03678132839768691
101,36663,202,363,10234,26429,0.036514849727711796
101,36764,202,364,10239,26525,0.03625102256480524
101,36865,202,365,10246,26619,0.03598982052603108
101,36966,202,366,10251,26715,0.0357312174909678
101,37067,202,367,10254,26813,0.03547518759909634
101,37168,202,368,10256,26912,0.035221705247214206
101,37269,202,369,10258,27011,0.03497074508687494
101,37370,202,370,10261,27109,0.034722282021853394
101,37471,202,371,10264,27207,0.034476291205635994
101,37572,202,372,10266,27306,0.034232748038936146
101,37673,202,373,10268,27405,0.0339916281672342
101,37774,202,374,10270,27504,0.03375290747834208
101,37875,202,375,10274,27601,0.033516562099991945
101,37976,202,376,10280,27696,0.03328256839744902
101,38077,202,377,10285,27792,0.03305090297114803
101,38178,202,378,10286,27892,0.03282154265435332
101,38279,202,379,10288,27991,0.03259446451084204
101,38380,202,380,10292,28088,0.03236964583261064
101,38481,202,381,10295,28186,0.03214706413760394
101,38582,202,382,10296,28286,0.03192669716746694
101,38683,202,383,10297,28386,0.031708522885318995
101,38784,202,384,10299,28485,0.031492519473550085
101,38885,202,385,10302,28583,0.031278665331639026
101,38986,202,386,10304,28682,0.031066939073993396
101,39087,202,387,10306,28781,0.030857319527811018
101,39188,202,388,10308,28880,0.030649785730962574
101,39289,202,389,10312,28977,0.030444316929895437
101,39390,202,390,10319,29071,0.030240892577558277
101,39491,202,391,10322,29169,0.030039492331346347
101,39592,202,392,10326,29266,0.029840096051067175
101,39693,202,393,10327,29366,0.029642683796926583
101,39794,202,394,10329,29465,0.02944723582753464
101,39895,202,395,10333,29562,0.029253732597931535
101,39996,202,396,10339,29657,0.029062154757633053
101,40097,202,397,10341,29756,0.02887248314869552
101,40198,202,398,10345,29853,0.028684698803799973
101,40299,202,399,10349,29950,0.02849878294435545
101,40400,202,400,10349,30051,0.02831471697862105
101,40501,202,401,10350,30151,0.028132482499846838
101,40602,202,402,10352,30250,0.027952061284433068
101,40703,202,403,10354,30349,0.02777343529010782
101,40804,202,404,10358,30446,0.027596586654122846
101,40905,202,405,10360,30545,0.027421497691467157
101,41006,202,406,10362,30644,0.02724815089309858
101,41107,202,407,10363,30744,0.0270765289241928
101,41208,202,408,10368,30840,0.026906614622409945
101,41309,202,409,10374,30935,0.026738390996178224
101,41410,202,410,10378,31032,0.026571841222994823
101,41511,202,411,10379,31132,0.026406948647743643
101,41612,202,412,10383,31229,0.026243696781029717
101,41713,202,413,10387,31326,0.026082069297530375
101,41814,202,414,10390,31424,0.02592205003436255
101,41915,202,415,10392,31523,0.025763622989466578
101,42016,202,416,10394,31622,0.025606772320005942
101,42117,202,417,10399,31718,0.025451482340783003
101,42218,202,418,10404,31814,0.02529773752267042
101,42319,202,419,10410,31909,0.025145522491058264
101,42420,202,420,10411,32009,0.02499482202431651
101,42521,202,421,10416,32105,0.024845621052272927
101,42622,202,422,10417,32205,0.024697904654705963
101,42723,202,423,10420,32303,0.024551658059852766
101,42824,202,424,10421,32403,0.024406866642931964
101,42925,202,425,10424,32501,0.024263515924681227
101,43026,202,426,10426,32600,0.024121591569909263
101,43127,202,427,10430,32697,0.023981079386062323
101,43228,202,428,10432,32796,0.023841965321804916
101,43329,202,429,10433,32896,0.023704235465614704
101,43430,202,430,10433,32997,0.023567876044391298
101,43531,202,431,10435,33096,0.023432873422078924
101,43632,202,432,10438,33194,0.02329921409830285
101,43733,202,433,10441,33292,0.02316688470701933
101,43834,202,434,10446,33388,0.023035872015178954
101,43935,202,435,10447,33488,0.022906162921403357
101,44036,202,436,10452,33584,0.022777744454675064
101,44137,202,437,10453,33684,0.0226506037730404
101,44238,202,438,10457,33781,0.02252472816232525
101,44339,202,439,10459,33880,0.022400105034863643
101,44440,202,440,10459,33981,0.02227672192823897
101,44541,202,441,10460,34081,0.02215456650403775
101,44642,202,442,10464,34178,0.022033626546615788
101,44743,202,443,10466,34277,0.021913889961876536
101,44844,202,444,10469,34375,0.02179534477606175
101,44945,202,445,10473,34472,0.02167797913455405
101,45046,202,446,10476,34570,0.021561781300691488
