iteration,successes,reward_episode,episode_count,random_act,timestep
101,48277,101,506,38773,9504
101,48378,101,507,38858,9520
101,48479,101,508,38937,9542
109,48588,109,509,39030,9558
103,48691,103,510,39119,9572
101,48792,101,511,39200,9592
107,48899,107,512,39286,9613
101,49000,101,513,39367,9633
32,49032,32,514,39393,9639
101,49133,101,515,39476,9657
101,49234,101,516,39552,9682
32,49266,32,517,39579,9687
101,49367,101,518,39658,9709
101,49468,101,519,39744,9724
51,49519,51,520,39788,9731
101,49620,101,521,39870,9750
101,49721,101,522,39954,9767
109,49830,109,523,40038,9792
104,49934,104,524,40127,9807
101,50035,101,525,40209,9826
101,50136,101,526,40284,9852
101,50237,101,527,40363,9874
106,50343,106,528,40449,9894
101,50444,101,529,40530,9914
101,50545,101,530,40615,9930
101,50646,101,531,40692,9954
101,50747,101,532,40777,9970
101,50848,101,533,40856,9992
101,50949,101,534,40935,10014
101,51050,101,535,41005,10045
101,51151,101,536,41085,10066
101,51252,101,537,41166,10086
101,51353,101,538,41247,10106
32,51385,32,539,41275,10110
113,51498,113,540,41369,10129
101,51599,101,541,41444,10155
101,51700,101,542,41533,10167
115,51815,115,543,41626,10189
101,51916,101,544,41701,10215
101,52017,101,545,41779,10238
101,52118,101,546,41859,10259
83,52201,83,547,41925,10276
101,52302,101,548,42000,10302
101,52403,101,549,42088,10315
137,52540,137,550,42201,10339
101,52641,101,551,42287,10354
101,52742,101,552,42369,10373
101,52843,101,553,42447,10396
32,52875,32,554,42476,10399
101,52976,101,555,42557,10419
101,53077,101,556,42636,10441
107,53184,107,557,42723,10461
101,53285,101,558,42801,10484
101,53386,101,559,42879,10507
101,53487,101,560,42957,10530
101,53588,101,561,43038,10550
101,53689,101,562,43117,10572
101,53790,101,563,43205,10585
101,53891,101,564,43284,10607
101,53992,101,565,43358,10634
100,54092,100,566,43444,10648
32,54124,32,567,43471,10653
60,54184,60,568,43519,10665
101,54285,101,569,43605,10680
103,54388,103,570,43683,10705
101,54489,101,571,43763,10726
48,54537,48,572,43804,10733
101,54638,101,573,43875,10763
101,54739,101,574,43955,10784
101,54840,101,575,44038,10802
32,54872,32,576,44065,10807
101,54973,101,577,44145,10828
101,55074,101,578,44226,10848
101,55175,101,579,44305,10870
101,55276,101,580,44388,10888
101,55377,101,581,44465,10912
70,55447,70,582,44527,10920
46,55493,46,583,44567,10926
101,55594,101,584,44654,10940
101,55695,101,585,44738,10957
121,55816,121,586,44831,10985
101,55917,101,587,44912,11005
101,56018,101,588,44991,11027
108,56126,108,589,45081,11045
101,56227,101,590,45156,11071
101,56328,101,591,45240,11088
101,56429,101,592,45321,11108
101,56530,101,593,45400,11130
101,56631,101,594,45482,11149
103,56734,103,595,45561,11173
108,56842,108,596,45647,11195
38,56880,38,597,45677,11203
101,56981,101,598,45757,11224
41,57022,41,599,45793,11229
101,57123,101,600,45872,11251
106,57229,106,601,45958,11271
101,57330,101,602,46038,11292
101,57431,101,603,46121,11310
107,57538,107,604,46213,11325
111,57649,111,605,46304,11345
101,57750,101,606,46380,11370
101,57851,101,607,46462,11389
101,57952,101,608,46542,11410
108,58060,108,609,46624,11436
101,58161,101,610,46708,11453
101,58262,101,611,46792,11470
101,58363,101,612,46875,11488
101,58464,101,613,46965,11499
101,58565,101,614,47043,11522
101,58666,101,615,47124,11542
55,58721,55,616,47170,11551
101,58822,101,617,47250,11572
101,58923,101,618,47330,11593
32,58955,32,619,47359,11596
101,59056,101,620,47435,11621
